Start Date	End Date	Time	Name	Description	Type	Audience	Place	Event Owner	Types	Comments
18 May	18 May	15 00 CET	Joe Gregory, the Authority Company, part of Forbes Books	Forbes Books - How to Write and Publish a Book	Leaning Event	Leads could be invited	online	Nata / Yevgen	Leaning Event	Nata / Yevgen
08 June	08 June	15 00 CET	Illya Sverdlov, Imagive Lawyers, parner	Legal & Tax Risks for Ukrainian Founders abroad	Leaning Event	Leads could be invited	online	Nata / Yevgen	Forum Test Drive	
13 July	13 July	15 00 CET	Vitaliy Diatlenko, UKLON	Experience Share event with Forbes Ukraine Entrepreneur 2025	Leaning Event	Leads could be invited	online	Nata / Yevgen	Chapter In-Person	
17 August	17 August	15 00 CET	Constantin Solyar, Tax Partner, Asters Law 	placeholder - legal casestudy	Leaning Event	Leads could be invited	online	Nata / Yevgen	GLobal / Regional	
31 August	31 August	15 00 CET	Polina Kosharna, SUZIRIA	Experience Share event with Forbes Ukraine Entrepreneur 2025	Leaning Event	Leads could be invited	online	Nata / Yevgen	Social	
10 November	15 November		Chapter Retreat		Chapter In-Person		Malta	Serhii		
16 September	16 September	3:30 – 5:00pm	Forum Test Drive		Test Drive	Leads could be invited	online	Max		
			Forum Test Drive		Test Drive	Leads could be invited	online	Max		
			Forum Test Drive		Test Drive	Leads could be invited	online	Max		
			Forum Test Drive		Test Drive	Leads could be invited	online	Max		
1 October	5 October		Resilience Tour 		Chapter In-Person	Leads could be invited	Kyiv, Lviv	Serhii		
6 October	8 October		European Leadership Conference (ELC) 2026 - Krakow, Poland	EO Unlimited 2026 Krakow isn't just another business conference - it's a turning point. For 3 days, 300 of the world's most visionary entrepreneurs will gather in one of Europe's most iconic cities to rethink, reshape, and lead transformation.	GLobal / Regional		Krakow, Poland			
7 October	10 October		EO Unlimited - Krakow, Poland	EO Unlimited 2026 Krakow isn't just another business conference - it's a turning point. For 3 days, 300 of the world's most visionary entrepreneurs will gather in one of Europe's most iconic cities to rethink, reshape, and lead transformation.	GLobal / Regional		Krakow, Poland			
23 February	26 November		Presidents Meeting 2027 - Mont Tremblant, Canada	Presidents Meeting (PM) 2027 will be bringing together Chapter Presidents and Chapter Staff from across Europe, Canada, and LAC regions. All Chapter Staff are invited to a unique training day before PM with arrivals (February 22nd). The PM will officially begin for all attendees on February 23rd.	GLobal / Regional		Mont Tremblant, Canada			
18 March	19 March		EMEA Moderator Summit	The EMEA Moderator Summit is an annual leadership and training event organized in collaboration with the Europe and MEPA (Middle East, Pakistan, and Africa) region for forum moderators	GLobal / Regional		Marrakech, Morocco			
11 April	13 April		Global Leadership Conference 2027	Great news: There will now be an SLP track at GLC 2027! EO's Global Leadership Conference (GLC) is the organisation's flagship event, uniting member leaders from around the world for an immersive experience in learning, growth, and connection. EO's 30th Global Leadership Conference next year will coincide with Kyoto's world-famous cherry blossom season	GLobal / Regional		Kyoto, Japan			
			Powerhouse (waiting for the dates)		GLobal / Regional	Leads could be invited				
			Labs (waiting for the dates)		GLobal / Regional	Leads could be invited				
			EO women summit (check the dates)		GLobal / Regional	Leads could be invited				
